No.,Name,Type,Zone,From,Dep,To,Arr,Duration,Halts,Distance,Avg Speed,Return,Classes,Sun,Mon,Tue,Wed,Thu,Fri,Sat
02251,Vande Bharat Express,VB,CR,PNR,23:30,AC,10:00,13h 30m,,999 km,74 km/hr,02252,"1A, 2A, 2S, 3A, CC, EV, Ex, SL",Y,Y,Y,Y,Y,Y,Y
02251,Vande Bharat Express,VB,CR,PNR,10:00,CR,23:30,13h 30m,,999 km,74 km/hr,02252,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
02251,Vande Bharat Express,VB,CR,CR,10:00,ECR,23:30,13h 30m,,999 km,74 km/hr,02252,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
02251,Shri Mata Vaishno Devi Katra - New Delhi Vande Bharat Express,VB,NR,VB,10:00,NR,23:30,13h 30m,,999 km,74 km/hr,02252,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
02251,,VB,NR,VB,10:00,NR,23:30,13h 30m,,999 km,74 km/hr,02252,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
02251,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
02252,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
02252,,VB,NR,VB,08:35,NR,21:30,12h 55m,,999 km,77 km/hr,02251,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
02254,,VB,ECR,VB,08:35,ECR,21:30,12h 55m,,999 km,77 km/hr,02253,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
02254,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
02253,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
02253,,VB,ECR,VB,10:00,ECR,23:30,13h 30m,,999 km,74 km/hr,02254,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
22440,Shri Mata Vaishno Devi Katra - New Delhi Vande Bharat Express,VB,NR,VB,14:55,NR,23:00,8h 5m,,655 km,81 km/hr,22439,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
22440,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Shri Mata Vaishno Devi Katra - New Delhi Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22439,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
